Ingredient;ID;Class;Class ID;ITA
Cashew;51;Nuts;22;Anacardi
Cauliflower;52;Vegetables;34;Cavolfiore
Cayenne;53;Spices;30;Pepe di Caienna
Celery;54;Greens;15;Sedano
Chard;55;Greens;15;Biete
Cheddar Cheese;56;Cheese;7;Cheddar
Chesnut;57;Nuts;22;Castagna
Chicken Meat;58;Chicken Meat;8;Carne bianca
Chickpeas;59;Legumes;18;Ceci
Chicory;60;Greens;15;Cicoria
Chilli Peppers;61;Spices;30;Peperoncino
Chives;62;Herbs;16;Erba cipollina
Chorizo;63;Pork Meat;23;Chorizo
Cinnamon;64;Spices;30;Cannella
Clams;65;Molluscs;20;Vongole
Clove;66;Spices;30;Chiodi di garofano
Cocoa Powder;67;Spices;30;Cacao
Cod;68;Sea Fish;26;Baccalà
Cod;69;Sea Fish;26;Merluzzo
Coffee;70;Spices;30;Caffè
Cognac;71;Wines and Spirits;35;Cognac
Common Plum;72;Sweet Fruits;31;Susina
Conchiglioni;73;Dry Pasta;11;Conchiglioni
Coriander;74;Spices;30;Coriandolo
Corn;75;Cereals;6;Mais
Corn Starch;76;Flour;13;Maizena
Cotechino;77;Pork Meat;23;Cotechino
Couscous;78;Dry Pasta;11;Cous cous
Crabmeat;79;Shellfish;28;Polpa di granchio
Cream;80;Milk and Cream;19;Panna
Cucumber;81;Vegetables;34;Cetriolo
Cumin;82;Spices;30;Cumino
Currant;83;Berries;2;Ribes
Curry Powder;84;Spices;30;Curry
Cuttlefish;85;Molluscs;20;Seppia
Ditaloni;86;Dry Pasta;11;Ditaloni
Dried Figs;87;Nuts;22;Fichi secchi
Duck;88;Chicken Meat;8;Anatra
Edam;89;Cheese;7;Edamer
Eggs;90;Eggs;12;Uova
Emmental Cheese;91;Cheese;7;Emmental
Farfalle;92;Dry Pasta;11;Farfalle
Fava Beans;93;Legumes;18;Fave
Fennel;94;Vegetables;34;Finocchio
Feta Cheese;95;Soft Cheese;29;Feta
Figs;96;Sweet Fruits;31;Fichi
Filo;97;Fresh Pasta;14;Pasta fillo
Fish Broth;98;Broth;4;Brodo di pesce
Flax Seeds;99;Spices;30;Semi di lino
Flour;100;Flour;13;Farina
Focaccia;101;Bread;3;Focaccia
Fontina Cheese;102;Cheese;7;Fontina
Frankfurters;103;Pork Meat;23;Wurstel
Fruit Juice;104;Condiments;10;Succo di frutta
Fusilli;105;Dry Pasta;11;Fusilli
Garam Masala;106;Spices;30;Garam masala
Garlic;107;Herbs;16;Aglio
Ginger;108;Spices;30;Zenzero
Goat Cheese;109;Cheese;7;Caprino
Goat Meat;110;Sheep Meat;27;Carne di capra
Grand Marnier;111;Wines and Spirits;35;Grand marnier
Grapefruit;112;Sweet Fruits;31;Pompelmo
Grappa;113;Wines and Spirits;35;Grappa
Green Beans;114;Vegetables;34;Fagiolino
Gruyere Cheese;115;Cheese;7;Groviera
Guacamole;116;Condiments;10;Guacamole
Guanciale;117;Pork Meat;23;Guanciale
Ham;118;Pork Meat;23;Prosciutto Cotto
Hazelnuts;119;Nuts;22;Nocciola
Honey;120;Sweeteners;32;Miele
Juniper;121;Spices;30;Ginepro
Ketchup;122;Condiments;10;Ketchup
Lamb;123;Sheep Meat;27;Agnello
Lamb's Lettuce;124;Greens;15;Songino
Langres Cheese;125;Soft Cheese;29;Langres
Lard;126;Pork Meat;23;Strutto
Latteria Cheese;127;Cheese;7;Formaggio Latteria
Laurel;128;Herbs;16;Alloro
Leek;129;Herbs;16;Porro
Lemon;130;Citrus Fruits;9;Limone
Lemongrass;131;Vegetables;34;Lemongrass
Lentils;132;Legumes;18;Lenticchie
Lettuce;133;Greens;15;Lattuga
Linguine;134;Dry Pasta;11;Linguine
Lobster;135;Shellfish;28;Astice
Lucanica;136;Pork Meat;23;Luganega
Mackerel;137;Sea Fish;26;Sgombro
Malt;138;Cereals;6;Malto
Mandarin;139;Citrus Fruits;9;Mandarino
Maple Syrup;140;Condiments;10;Sciroppo d''acero
Marjoram;141;Herbs;16;Maggiorana
Marsala;142;Wines and Spirits;35;Marsala
Mascarpone;143;Milk and Cream;19;Mascarpone
Mayonnaise;144;Condiments;10;Maionese
Melissa;145;Herbs;16;Melissa
Milk;146;Milk and Cream;19;Latte
Mint;147;Herbs;16;Menta
Miso;148;Condiments;10;Miso
Mixed Pasta;149;Dry Pasta;11;Pasta mista
Monkfish;150;Sea Fish;26;Rana pescatrice
Montasio Cheese;151;Cheese;7;Montasio
Mortadella;152;Pork Meat;23;Mortadella
Mozzarella;153;Soft Cheese;29;Mozzarella
Mushroom;154;Mushrooms;21;Fungo
Musky Octopus;155;Molluscs;20;Moscardini
Mussels;156;Molluscs;20;Cozze
Mustard;157;Condiments;10;Senape
Narutomaki;158;Sea Fish;26;Naruto
Nduja;159;Pork Meat;23;Nduja
Nutmeg;160;Spices;30;Noce moscata
Oat;161;Cereals;6;Avena
Octopus;162;Sea Fish;26;Polpo
Oil;163;Condiments;10;Olio
Olives;164;Salty Fruits;25;Oliva
Onion;165;Herbs;16;Cipolla
Orange;166;Citrus Fruits;9;Arancia
Orechiette;167;Dry Pasta;11;Orecchiette
Oregano;168;Herbs;16;Origano
Paccheri;169;Dry Pasta;11;Paccheri
Pancetta;170;Pork Meat;23;Pancetta
Paprika;171;Spices;30;Paprika
Parmesan;172;Cheese;7;Parmigiano
Parsley;173;Herbs;16;Prezzemolo
Passion Fruit;174;Sweet Fruits;31;Frutto della passione
Peanuts;175;Nuts;22;Arachidi
Pear;176;Sweet Fruits;31;Pera
Peas;177;Legumes;18;Piselli
Pecorino Cheese;178;Cheese;7;Pecorino
Penne;179;Dry Pasta;11;Penne
Pepper;180;Vegetables;34;Peperone
Pesto;181;Condiments;10;Pesto
Pine Nut;182;Sea Fish;26;Pinolo
Pistachio;183;Salty Fruits;25;Pistacchio
Pizzoccheri;184;Fresh Pasta;14;Pizzoccheri
Plum;185;Sweet Fruits;31;Prugna
Poppy Seeds;186;Spices;30;Semi di papavero
Pork Meat;187;Pork Meat;23;Carne suina
Potato;188;Vegetables;34;Patata
Potato Starch;189;Flour;13;Fecola di patate
Prawn;190;Shellfish;28;Gambero
Prosciutto;191;Pork Meat;23;Prosciutto Crudo
Puff Pastry;192;Fresh Pasta;14;Sfoglia
Pumpkin;193;Vegetables;34;Zucca
Quinoa;194;Cereals;6;Quinoa
Rabbit;195;Rabbit Meat;24;Coniglio
Radicchio;196;Greens;15;Radicchio
Radish;197;Vegetables;34;Ravanello
Raisin;198;Sweet Fruits;31;Uvetta
Red Bandfish;199;Sea Fish;26;Cepola
Red mullet;200;Sea Fish;26;Triglia
Rice;201;Cereals;6;Riso
Ricotta Cheese;202;Soft Cheese;29;Ricotta
Rigatoni;203;Dry Pasta;11;Rigatoni
Robiola Cheese;204;Soft Cheese;29;Robiola
Rocket;205;Greens;15;Rucola
Roquefort Cheese;206;Soft Cheese;29;Roquefort
Rosemary;207;Herbs;16;Rosmarino
Rum;208;Wines and Spirits;35;Rum
Saffron;209;Spices;30;Zafferano
Sage;210;Herbs;16;Salvia
Sake;211;Wines and Spirits;35;Sake
Salad;212;Greens;15;Insalata
Salami;213;Pork Meat;23;Salame
Salmon;214;Sea Fish;26;Salmone
Sardine;215;Sea Fish;26;Sarde
Sausage;216;Pork Meat;23;Salsiccia
Savory;217;Herbs;16;Santoreggia
Savoy Cabbage;218;Greens;15;Verza
Scallop;219;Molluscs;20;Capesante
Scamorza Cheese;220;Cheese;7;Scamorza
Scampi;221;Sea Fish;26;Scampo
Sea Bream;222;Sea Fish;26;Orata
Seabass;223;Sea Fish;26;Spigola
Seafood Sauce;224;Condiments;10;Salsa cocktail
Seaweed;225;Greens;15;Alga
Sedanini;226;Dry Pasta;11;Sedanini
Semolina;227;Cereals;6;Semolino
Sesame;228;Spices;30;Sesamo
Shallot;229;Herbs;16;Scalogno
Shortcrust pastry;230;Fresh Pasta;14;Pasta brisè
Soy;231;Greens;15;Soia
Soy Sauce;232;Condiments;10;Salsa di soia
Soybean Sprout;233;Legumes;18;Germogli di soia
Spaghetti;234;Dry Pasta;11;Spaghetti
Spelt;235;Cereals;6;Farro
Spinach;236;Greens;15;Spinaci
Spreadable Cheese;237;Soft Cheese;29;Formaggino
Squacquerone Cheese;238;Cheese;7;Squacquerone
Squid;239;Molluscs;20;Calamaro
Squid;240;Sea Fish;26;Totano
Stone Bass;241;Sea Fish;26;Cernia
Stracchino Cheese;242;Soft Cheese;29;Stracchino
Stracciatella Cheese;243;Soft Cheese;29;Stracciatella
Striped Prawn;244;Sheep Meat;27;Mazzancolla
Sugar;245;Sweeteners;32;Zucchero
Sunflower Seeds;246;Nuts;22;Semi di girasole
Swordfish;247;Sea Fish;26;Pesce spada
Tabasco;248;Condiments;10;Tabasco
Taco;249;Bread;3;Taco
Tahin;250;Spices;30;Tahina
Taleggio Cheese;251;Cheese;7;Taleggio
Thyme;252;Herbs;16;Timo
Tomato;253;Greens;15;Pomodoro
Tomino Cheese;254;Cheese;7;Tomino
Tripe;255;Pork Meat;23;Trippa
Trofie;256;Dry Pasta;11;Trofie
Trout;257;Fresh Pasta;14;Trota
Truffle;258;Mushrooms;21;Tartufo
Tub Gurnard;259;Sea Fish;26;Gallinella
Tuna;260;Sea Fish;26;Tonno
Turkey;261;Turkey Meat;33;Tacchino
Turmeric;262;Spices;30;Curcuma
Turnip Greens;263;Greens;15;Cime di rapa
Valtellina Cheese;264;Cheese;7;Valtellina
Veal;265;Beef;1;Vitello
Vegetable Broth;266;Broth;4;Brodo vegetale
Verzini;267;Pork Meat;23;Verzini
Vinegar;268;Condiments;10;Aceto
Vodka;269;Wines and Spirits;35;Vodka
Walnuts;270;Nuts;22;Noce
Wasabi;271;Spices;30;Wasabi
Wine;272;Wines and Spirits;35;Vino
Worcester Sauce;273;Condiments;10;Salsa worcester
Yogurt;274;Yogurt;36;Yogurt
Ziti;275;Dry Pasta;11;Ziti
Zucchini;276;Vegetables;34;Zucchina
Zucchini Flowers;277;Vegetables;34;Fiori di Zucca
