Model: linear-relu-relu-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7450980544090271, loss: 1.1100772619247437, precision: 0.7400000095367432, recall: 0.7254902124404907, f1score: 0.7326732803449807
Model: leakyRelu-linear-relu-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.6470588445663452, loss: 1.2428537607192993, precision: 0.6470588445663452, recall: 0.6470588445663452, f1score: 0.6470588445663452
Model: leakyRelu-linear-tanh-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7058823704719543, loss: 1.0637305974960327, precision: 0.7058823704719543, recall: 0.7058823704719543, f1score: 0.7058823704719543
Model: leakyRelu-linear-sigmoid-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7254902124404907, loss: 0.7023789882659912, precision: 0.75, recall: 0.7058823704719543, f1score: 0.7272727365774008
Model: leakyRelu-linear-leakyRelu-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7058823704719543, loss: 1.0845441818237305, precision: 0.7200000286102295, recall: 0.7058823704719543, f1score: 0.7128713100917806
Model: leakyRelu-relu-linear-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.6666666865348816, loss: 1.5338808298110962, precision: 0.6666666865348816, recall: 0.6666666865348816, f1score: 0.6666666865348816
Model: leakyRelu-relu-relu-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7058823704719543, loss: 1.1397459506988525, precision: 0.7200000286102295, recall: 0.7058823704719543, f1score: 0.7128713100917806
Model: leakyRelu-relu-tanh-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.686274528503418, loss: 1.3316818475723267, precision: 0.6938775777816772, recall: 0.6666666865348816, f1score: 0.6800000231862068
Model: leakyRelu-relu-sigmoid-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.6666666865348816, loss: 0.7805712819099426, precision: 0.7083333134651184, recall: 0.6666666865348816, f1score: 0.6868686880728205
Model: leakyRelu-relu-leakyRelu-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.686274528503418, loss: 1.229792594909668, precision: 0.686274528503418, recall: 0.686274528503418, f1score: 0.686274528503418
Model: leakyRelu-tanh-linear-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7843137383460999, loss: 0.9184905886650085, precision: 0.7843137383460999, recall: 0.7843137383460999, f1score: 0.7843137383460999
Model: leakyRelu-tanh-relu-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7254902124404907, loss: 1.011284589767456, precision: 0.7400000095367432, recall: 0.7254902124404907, f1score: 0.7326732803449807
Model: leakyRelu-tanh-tanh-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7058823704719543, loss: 0.9947237372398376, precision: 0.7058823704719543, recall: 0.7058823704719543, f1score: 0.7058823704719543
Model: leakyRelu-tanh-sigmoid-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7450980544090271, loss: 0.6660014986991882, precision: 0.7599999904632568, recall: 0.7450980544090271, f1score: 0.7524752505981807
Model: leakyRelu-tanh-leakyRelu-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7254902124404907, loss: 1.3064419031143188, precision: 0.7200000286102295, recall: 0.7058823704719543, f1score: 0.7128713100917806
Model: leakyRelu-sigmoid-linear-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.686274528503418, loss: 0.8592228889465332, precision: 0.7291666865348816, recall: 0.686274528503418, f1score: 0.7070707263368549
Model: leakyRelu-sigmoid-relu-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.686274528503418, loss: 0.9952820539474487, precision: 0.699999988079071, recall: 0.686274528503418, f1score: 0.6930693106234812
Model: leakyRelu-sigmoid-tanh-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7058823704719543, loss: 0.8644492030143738, precision: 0.7346938848495483, recall: 0.7058823704719543, f1score: 0.7200000126242637
Model: leakyRelu-sigmoid-sigmoid-Yes_Drop0.1_Yes_batch-softmax_LR-0.0005_OPT-SGD_Nodes-64. Accuracy: 0.7450980544090271, loss: 0.6659134030342102, precision: 0.782608687877655, recall: 0.7058823704719543, f1score: 0.7422680474326008
