User 0: 0.5290148 recall; in the following cases: 
0.8518519 accuracy; 0.5621663 precision; 0.1 treshold; 4.0wc; [0.1, 0.1, 0.2, 0.6, 0.0] as factor vector
0.64444447 accuracy; 0.45767197 precision; 0.25 treshold; 3.0wc; [0.1, 0.3, 0.6, 0.0, 0.0] as factor vector
0.64444447 accuracy; 0.45767197 precision; 0.2 treshold; 3.0wc; [0.0, 0.2, 0.8, 0.0, 0.0] as factor vector
0.64444447 accuracy; 0.45767197 precision; 0.2 treshold; 3.0wc; [0.0, 0.3, 0.7, 0.0, 0.0] as factor vector
0.64444447 accuracy; 0.45767197 precision; 0.2 treshold; 3.0wc; [0.0, 0.4, 0.6, 0.0, 0.0] as factor vector
0.64444447 accuracy; 0.45767197 precision; 0.2 treshold; 3.0wc; [0.1, 0.2, 0.7, 0.0, 0.0] as factor vector
0.64444447 accuracy; 0.45767197 precision; 0.2 treshold; 3.0wc; [0.1, 0.3, 0.6, 0.0, 0.0] as factor vector
0.64444447 accuracy; 0.45767197 precision; 0.2 treshold; 3.0wc; [0.2, 0.2, 0.6, 0.0, 0.0] as factor vector
0.64444447 accuracy; 0.45767197 precision; 0.15 treshold; 3.0wc; [0.0, 0.2, 0.8, 0.0, 0.0] as factor vector
0.64444447 accuracy; 0.45767197 precision; 0.15 treshold; 3.0wc; [0.0, 0.3, 0.7, 0.0, 0.0] as factor vector
0.64444447 accuracy; 0.45767197 precision; 0.15 treshold; 3.0wc; [0.0, 0.4, 0.6, 0.0, 0.0] as factor vector
0.64444447 accuracy; 0.45767197 precision; 0.15 treshold; 3.0wc; [0.1, 0.2, 0.7, 0.0, 0.0] as factor vector
0.64444447 accuracy; 0.45767197 precision; 0.15 treshold; 3.0wc; [0.1, 0.3, 0.6, 0.0, 0.0] as factor vector
0.64444447 accuracy; 0.45767197 precision; 0.15 treshold; 3.0wc; [0.2, 0.2, 0.6, 0.0, 0.0] as factor vector
0.64444447 accuracy; 0.45767197 precision; 0.15 treshold; 3.0wc; [0.2, 0.3, 0.5, 0.0, 0.0] as factor vector
0.64444447 accuracy; 0.45767197 precision; 0.1 treshold; 3.0wc; [0.0, 0.1, 0.9, 0.0, 0.0] as factor vector
0.64444447 accuracy; 0.45767197 precision; 0.1 treshold; 3.0wc; [0.0, 0.2, 0.8, 0.0, 0.0] as factor vector
0.64444447 accuracy; 0.45767197 precision; 0.1 treshold; 3.0wc; [0.0, 0.3, 0.7, 0.0, 0.0] as factor vector
0.64444447 accuracy; 0.45767197 precision; 0.1 treshold; 3.0wc; [0.0, 0.4, 0.6, 0.0, 0.0] as factor vector
0.64444447 accuracy; 0.45767197 precision; 0.1 treshold; 3.0wc; [0.1, 0.1, 0.8, 0.0, 0.0] as factor vector
0.64444447 accuracy; 0.45767197 precision; 0.1 treshold; 3.0wc; [0.1, 0.2, 0.7, 0.0, 0.0] as factor vector
0.64444447 accuracy; 0.45767197 precision; 0.1 treshold; 3.0wc; [0.1, 0.3, 0.6, 0.0, 0.0] as factor vector
0.64444447 accuracy; 0.45767197 precision; 0.1 treshold; 3.0wc; [0.2, 0.2, 0.6, 0.0, 0.0] as factor vector
0.64444447 accuracy; 0.45767197 precision; 0.1 treshold; 3.0wc; [0.2, 0.3, 0.5, 0.0, 0.0] as factor vector
0.64444447 accuracy; 0.45767197 precision; 0.05 treshold; 3.0wc; [0.0, 0.1, 0.9, 0.0, 0.0] as factor vector
0.64444447 accuracy; 0.45767197 precision; 0.05 treshold; 3.0wc; [0.0, 0.2, 0.8, 0.0, 0.0] as factor vector
0.64444447 accuracy; 0.45767197 precision; 0.05 treshold; 3.0wc; [0.0, 0.3, 0.7, 0.0, 0.0] as factor vector
0.64444447 accuracy; 0.45767197 precision; 0.05 treshold; 3.0wc; [0.0, 0.4, 0.6, 0.0, 0.0] as factor vector
0.64444447 accuracy; 0.45767197 precision; 0.05 treshold; 3.0wc; [0.1, 0.1, 0.8, 0.0, 0.0] as factor vector
0.64444447 accuracy; 0.45767197 precision; 0.05 treshold; 3.0wc; [0.1, 0.2, 0.7, 0.0, 0.0] as factor vector
0.64444447 accuracy; 0.45767197 precision; 0.05 treshold; 3.0wc; [0.1, 0.3, 0.6, 0.0, 0.0] as factor vector
0.64444447 accuracy; 0.45767197 precision; 0.05 treshold; 3.0wc; [0.1, 0.4, 0.5, 0.0, 0.0] as factor vector
0.64444447 accuracy; 0.45767197 precision; 0.05 treshold; 3.0wc; [0.2, 0.2, 0.6, 0.0, 0.0] as factor vector
0.64444447 accuracy; 0.45767197 precision; 0.05 treshold; 3.0wc; [0.2, 0.3, 0.5, 0.0, 0.0] as factor vector
0.64444447 accuracy; 0.45767197 precision; 0.05 treshold; 3.0wc; [0.3, 0.3, 0.4, 0.0, 0.0] as factor vector
0.64444447 accuracy; 0.45767197 precision; 0.0 treshold; 3.0wc; [0.0, 0.1, 0.9, 0.0, 0.0] as factor vector
0.64444447 accuracy; 0.45767197 precision; 0.0 treshold; 3.0wc; [0.0, 0.2, 0.8, 0.0, 0.0] as factor vector
0.64444447 accuracy; 0.45767197 precision; 0.0 treshold; 3.0wc; [0.0, 0.3, 0.7, 0.0, 0.0] as factor vector
0.64444447 accuracy; 0.45767197 precision; 0.0 treshold; 3.0wc; [0.0, 0.4, 0.6, 0.0, 0.0] as factor vector
0.64444447 accuracy; 0.45767197 precision; 0.0 treshold; 3.0wc; [0.1, 0.1, 0.8, 0.0, 0.0] as factor vector
0.64444447 accuracy; 0.45767197 precision; 0.0 treshold; 3.0wc; [0.1, 0.2, 0.7, 0.0, 0.0] as factor vector
0.64444447 accuracy; 0.45767197 precision; 0.0 treshold; 3.0wc; [0.1, 0.3, 0.6, 0.0, 0.0] as factor vector
0.64444447 accuracy; 0.45767197 precision; 0.0 treshold; 3.0wc; [0.1, 0.4, 0.5, 0.0, 0.0] as factor vector
0.64444447 accuracy; 0.45767197 precision; 0.0 treshold; 3.0wc; [0.2, 0.2, 0.6, 0.0, 0.0] as factor vector
0.64444447 accuracy; 0.45767197 precision; 0.0 treshold; 3.0wc; [0.2, 0.3, 0.5, 0.0, 0.0] as factor vector
0.64444447 accuracy; 0.45767197 precision; 0.0 treshold; 3.0wc; [0.3, 0.3, 0.4, 0.0, 0.0] as factor vector
--------------------------------------------------------------
User 3: 0.78787875 recall; in the following cases: 
0.7925926 accuracy; 0.5833333 precision; 0.1 treshold; 4.0wc; [0.1, 0.1, 0.3, 0.5, 0.0] as factor vector
--------------------------------------------------------------
User 4: 0.7237037 recall; in the following cases: 
0.73333335 accuracy; 0.65242165 precision; 0.2 treshold; 4.0wc; [0.2, 0.2, 0.2, 0.4, 0.0] as factor vector
0.73333335 accuracy; 0.65242165 precision; 0.15 treshold; 4.0wc; [0.2, 0.2, 0.2, 0.4, 0.0] as factor vector
0.73333335 accuracy; 0.65242165 precision; 0.1 treshold; 4.0wc; [0.1, 0.1, 0.1, 0.7, 0.0] as factor vector
0.73333335 accuracy; 0.65242165 precision; 0.1 treshold; 4.0wc; [0.2, 0.2, 0.2, 0.4, 0.0] as factor vector
0.73333335 accuracy; 0.65242165 precision; 0.05 treshold; 4.0wc; [0.1, 0.1, 0.1, 0.7, 0.0] as factor vector
0.73333335 accuracy; 0.65242165 precision; 0.05 treshold; 4.0wc; [0.2, 0.2, 0.2, 0.4, 0.0] as factor vector
0.73333335 accuracy; 0.65242165 precision; 0.0 treshold; 4.0wc; [0.1, 0.1, 0.1, 0.7, 0.0] as factor vector
0.73333335 accuracy; 0.65242165 precision; 0.0 treshold; 4.0wc; [0.2, 0.2, 0.2, 0.4, 0.0] as factor vector
--------------------------------------------------------------
User 5: 0.4672365 recall; in the following cases: 
0.49629632 accuracy; 0.6431373 precision; 0.35 treshold; 4.0wc; [0.1, 0.1, 0.3, 0.5, 0.0] as factor vector
0.49629632 accuracy; 0.6431373 precision; 0.3 treshold; 4.0wc; [0.1, 0.1, 0.2, 0.6, 0.0] as factor vector
0.49629632 accuracy; 0.6431373 precision; 0.3 treshold; 4.0wc; [0.1, 0.2, 0.2, 0.5, 0.0] as factor vector
0.49629632 accuracy; 0.6431373 precision; 0.25 treshold; 4.0wc; [0.1, 0.1, 0.2, 0.6, 0.0] as factor vector
0.49629632 accuracy; 0.6431373 precision; 0.25 treshold; 4.0wc; [0.1, 0.2, 0.2, 0.5, 0.0] as factor vector
0.49629632 accuracy; 0.6431373 precision; 0.2 treshold; 4.0wc; [0.1, 0.1, 0.1, 0.7, 0.0] as factor vector
0.49629632 accuracy; 0.6431373 precision; 0.15 treshold; 4.0wc; [0.1, 0.1, 0.1, 0.7, 0.0] as factor vector
--------------------------------------------------------------
User 6: 0.53688145 recall; in the following cases: 
0.7037037 accuracy; 0.6085859 precision; 0.45 treshold; 3.0wc; [0.0, 0.5, 0.5, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.4 treshold; 3.0wc; [0.0, 0.4, 0.6, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.4 treshold; 3.0wc; [0.0, 0.5, 0.5, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.4 treshold; 3.0wc; [0.1, 0.4, 0.5, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.4 treshold; 3.0wc; [0.2, 0.4, 0.4, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.35 treshold; 3.0wc; [0.0, 0.4, 0.6, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.35 treshold; 3.0wc; [0.0, 0.5, 0.5, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.35 treshold; 3.0wc; [0.1, 0.4, 0.5, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.35 treshold; 3.0wc; [0.2, 0.4, 0.4, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.3 treshold; 3.0wc; [0.0, 0.3, 0.7, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.3 treshold; 3.0wc; [0.0, 0.4, 0.6, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.3 treshold; 3.0wc; [0.0, 0.5, 0.5, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.3 treshold; 3.0wc; [0.1, 0.3, 0.6, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.3 treshold; 3.0wc; [0.1, 0.4, 0.5, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.3 treshold; 3.0wc; [0.2, 0.3, 0.5, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.3 treshold; 3.0wc; [0.2, 0.4, 0.4, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.3 treshold; 3.0wc; [0.3, 0.3, 0.4, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.25 treshold; 3.0wc; [0.0, 0.3, 0.7, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.25 treshold; 3.0wc; [0.0, 0.4, 0.6, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.25 treshold; 3.0wc; [0.0, 0.5, 0.5, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.25 treshold; 3.0wc; [0.1, 0.3, 0.6, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.25 treshold; 3.0wc; [0.1, 0.4, 0.5, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.25 treshold; 3.0wc; [0.2, 0.3, 0.5, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.25 treshold; 3.0wc; [0.2, 0.4, 0.4, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.25 treshold; 3.0wc; [0.3, 0.3, 0.4, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.2 treshold; 3.0wc; [0.0, 0.2, 0.8, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.2 treshold; 3.0wc; [0.0, 0.3, 0.7, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.2 treshold; 3.0wc; [0.0, 0.4, 0.6, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.2 treshold; 3.0wc; [0.0, 0.5, 0.5, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.2 treshold; 3.0wc; [0.1, 0.2, 0.7, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.2 treshold; 3.0wc; [0.1, 0.3, 0.6, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.2 treshold; 3.0wc; [0.1, 0.4, 0.5, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.2 treshold; 3.0wc; [0.2, 0.2, 0.6, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.2 treshold; 3.0wc; [0.2, 0.3, 0.5, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.2 treshold; 3.0wc; [0.2, 0.4, 0.4, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.2 treshold; 3.0wc; [0.3, 0.3, 0.4, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.15 treshold; 3.0wc; [0.0, 0.2, 0.8, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.15 treshold; 3.0wc; [0.0, 0.3, 0.7, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.15 treshold; 3.0wc; [0.0, 0.4, 0.6, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.15 treshold; 3.0wc; [0.0, 0.5, 0.5, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.15 treshold; 3.0wc; [0.1, 0.2, 0.7, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.15 treshold; 3.0wc; [0.1, 0.3, 0.6, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.15 treshold; 3.0wc; [0.1, 0.4, 0.5, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.15 treshold; 3.0wc; [0.2, 0.2, 0.6, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.15 treshold; 3.0wc; [0.2, 0.3, 0.5, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.15 treshold; 3.0wc; [0.2, 0.4, 0.4, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.15 treshold; 3.0wc; [0.3, 0.3, 0.4, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.1 treshold; 3.0wc; [0.0, 0.1, 0.9, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.1 treshold; 3.0wc; [0.0, 0.2, 0.8, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.1 treshold; 3.0wc; [0.0, 0.3, 0.7, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.1 treshold; 3.0wc; [0.0, 0.4, 0.6, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.1 treshold; 3.0wc; [0.0, 0.5, 0.5, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.1 treshold; 3.0wc; [0.1, 0.1, 0.8, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.1 treshold; 3.0wc; [0.1, 0.2, 0.7, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.1 treshold; 3.0wc; [0.1, 0.3, 0.6, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.1 treshold; 3.0wc; [0.1, 0.4, 0.5, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.1 treshold; 3.0wc; [0.2, 0.2, 0.6, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.1 treshold; 3.0wc; [0.2, 0.3, 0.5, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.1 treshold; 3.0wc; [0.2, 0.4, 0.4, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.1 treshold; 3.0wc; [0.3, 0.3, 0.4, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.05 treshold; 3.0wc; [0.0, 0.1, 0.9, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.05 treshold; 3.0wc; [0.0, 0.2, 0.8, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.05 treshold; 3.0wc; [0.0, 0.3, 0.7, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.05 treshold; 3.0wc; [0.0, 0.4, 0.6, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.05 treshold; 3.0wc; [0.0, 0.5, 0.5, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.05 treshold; 3.0wc; [0.1, 0.1, 0.8, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.05 treshold; 3.0wc; [0.1, 0.2, 0.7, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.05 treshold; 3.0wc; [0.1, 0.3, 0.6, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.05 treshold; 3.0wc; [0.1, 0.4, 0.5, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.05 treshold; 3.0wc; [0.2, 0.2, 0.6, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.05 treshold; 3.0wc; [0.2, 0.3, 0.5, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.05 treshold; 3.0wc; [0.2, 0.4, 0.4, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.05 treshold; 3.0wc; [0.3, 0.3, 0.4, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.0 treshold; 3.0wc; [0.0, 0.1, 0.9, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.0 treshold; 3.0wc; [0.0, 0.2, 0.8, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.0 treshold; 3.0wc; [0.0, 0.3, 0.7, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.0 treshold; 3.0wc; [0.0, 0.4, 0.6, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.0 treshold; 3.0wc; [0.0, 0.5, 0.5, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.0 treshold; 3.0wc; [0.1, 0.1, 0.8, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.0 treshold; 3.0wc; [0.1, 0.2, 0.7, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.0 treshold; 3.0wc; [0.1, 0.3, 0.6, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.0 treshold; 3.0wc; [0.1, 0.4, 0.5, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.0 treshold; 3.0wc; [0.2, 0.2, 0.6, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.0 treshold; 3.0wc; [0.2, 0.3, 0.5, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.0 treshold; 3.0wc; [0.2, 0.4, 0.4, 0.0, 0.0] as factor vector
0.7037037 accuracy; 0.6085859 precision; 0.0 treshold; 3.0wc; [0.3, 0.3, 0.4, 0.0, 0.0] as factor vector
--------------------------------------------------------------
User 7: 0.7004831 recall; in the following cases: 
0.7185185 accuracy; 0.5597327 precision; 0.3 treshold; 3.0wc; [0.0, 0.3, 0.7, 0.0, 0.0] as factor vector
0.7185185 accuracy; 0.5597327 precision; 0.3 treshold; 3.0wc; [0.1, 0.3, 0.6, 0.0, 0.0] as factor vector
0.7185185 accuracy; 0.5597327 precision; 0.25 treshold; 3.0wc; [0.0, 0.3, 0.7, 0.0, 0.0] as factor vector
0.7185185 accuracy; 0.5597327 precision; 0.25 treshold; 3.0wc; [0.1, 0.3, 0.6, 0.0, 0.0] as factor vector
0.7185185 accuracy; 0.5597327 precision; 0.2 treshold; 3.0wc; [0.0, 0.2, 0.8, 0.0, 0.0] as factor vector
0.7185185 accuracy; 0.5597327 precision; 0.2 treshold; 3.0wc; [0.0, 0.3, 0.7, 0.0, 0.0] as factor vector
0.7185185 accuracy; 0.5597327 precision; 0.2 treshold; 3.0wc; [0.0, 0.4, 0.6, 0.0, 0.0] as factor vector
0.7185185 accuracy; 0.5597327 precision; 0.2 treshold; 3.0wc; [0.1, 0.2, 0.7, 0.0, 0.0] as factor vector
0.7185185 accuracy; 0.5597327 precision; 0.2 treshold; 3.0wc; [0.1, 0.3, 0.6, 0.0, 0.0] as factor vector
0.7185185 accuracy; 0.5597327 precision; 0.2 treshold; 3.0wc; [0.2, 0.2, 0.6, 0.0, 0.0] as factor vector
0.7185185 accuracy; 0.5597327 precision; 0.15 treshold; 3.0wc; [0.0, 0.2, 0.8, 0.0, 0.0] as factor vector
0.7185185 accuracy; 0.5597327 precision; 0.15 treshold; 3.0wc; [0.0, 0.3, 0.7, 0.0, 0.0] as factor vector
0.7185185 accuracy; 0.5597327 precision; 0.15 treshold; 3.0wc; [0.0, 0.4, 0.6, 0.0, 0.0] as factor vector
0.7185185 accuracy; 0.5597327 precision; 0.15 treshold; 3.0wc; [0.1, 0.2, 0.7, 0.0, 0.0] as factor vector
0.7185185 accuracy; 0.5597327 precision; 0.15 treshold; 3.0wc; [0.1, 0.3, 0.6, 0.0, 0.0] as factor vector
0.7185185 accuracy; 0.5597327 precision; 0.15 treshold; 3.0wc; [0.2, 0.2, 0.6, 0.0, 0.0] as factor vector
0.7185185 accuracy; 0.5597327 precision; 0.15 treshold; 3.0wc; [0.2, 0.3, 0.5, 0.0, 0.0] as factor vector
0.7185185 accuracy; 0.5597327 precision; 0.1 treshold; 3.0wc; [0.0, 0.1, 0.9, 0.0, 0.0] as factor vector
0.7185185 accuracy; 0.5597327 precision; 0.1 treshold; 3.0wc; [0.0, 0.2, 0.8, 0.0, 0.0] as factor vector
0.7185185 accuracy; 0.5597327 precision; 0.1 treshold; 3.0wc; [0.0, 0.3, 0.7, 0.0, 0.0] as factor vector
0.7185185 accuracy; 0.5597327 precision; 0.1 treshold; 3.0wc; [0.0, 0.4, 0.6, 0.0, 0.0] as factor vector
0.7185185 accuracy; 0.5597327 precision; 0.1 treshold; 3.0wc; [0.1, 0.1, 0.8, 0.0, 0.0] as factor vector
0.7185185 accuracy; 0.5597327 precision; 0.1 treshold; 3.0wc; [0.1, 0.2, 0.7, 0.0, 0.0] as factor vector
0.7185185 accuracy; 0.5597327 precision; 0.1 treshold; 3.0wc; [0.1, 0.3, 0.6, 0.0, 0.0] as factor vector
0.7185185 accuracy; 0.5597327 precision; 0.1 treshold; 3.0wc; [0.2, 0.2, 0.6, 0.0, 0.0] as factor vector
0.7185185 accuracy; 0.5597327 precision; 0.1 treshold; 3.0wc; [0.2, 0.3, 0.5, 0.0, 0.0] as factor vector
0.7185185 accuracy; 0.5597327 precision; 0.05 treshold; 3.0wc; [0.0, 0.1, 0.9, 0.0, 0.0] as factor vector
0.7185185 accuracy; 0.5597327 precision; 0.05 treshold; 3.0wc; [0.0, 0.2, 0.8, 0.0, 0.0] as factor vector
0.7185185 accuracy; 0.5597327 precision; 0.05 treshold; 3.0wc; [0.0, 0.3, 0.7, 0.0, 0.0] as factor vector
0.7185185 accuracy; 0.5597327 precision; 0.05 treshold; 3.0wc; [0.0, 0.4, 0.6, 0.0, 0.0] as factor vector
0.7185185 accuracy; 0.5597327 precision; 0.05 treshold; 3.0wc; [0.1, 0.1, 0.8, 0.0, 0.0] as factor vector
0.7185185 accuracy; 0.5597327 precision; 0.05 treshold; 3.0wc; [0.1, 0.2, 0.7, 0.0, 0.0] as factor vector
0.7185185 accuracy; 0.5597327 precision; 0.05 treshold; 3.0wc; [0.1, 0.3, 0.6, 0.0, 0.0] as factor vector
0.7185185 accuracy; 0.5597327 precision; 0.05 treshold; 3.0wc; [0.1, 0.4, 0.5, 0.0, 0.0] as factor vector
0.7185185 accuracy; 0.5597327 precision; 0.05 treshold; 3.0wc; [0.2, 0.2, 0.6, 0.0, 0.0] as factor vector
0.7185185 accuracy; 0.5597327 precision; 0.05 treshold; 3.0wc; [0.2, 0.3, 0.5, 0.0, 0.0] as factor vector
0.7185185 accuracy; 0.5597327 precision; 0.05 treshold; 3.0wc; [0.3, 0.3, 0.4, 0.0, 0.0] as factor vector
