User 3: 0.6738351 recall; in the following cases: 
0.42222223 accuracy; 0.41609457 precision; 0.9 treshold; 3.0wc; [0.0, 0.1, 0.9, 0.0, 0.0] as factor vector
0.4793651 accuracy; 0.3937652 precision; 0.2 treshold; 5.0wc; [0.1, 0.4, 0.2, 0.0, 0.3] as factor vector
0.4793651 accuracy; 0.3937652 precision; 0.2 treshold; 5.0wc; [0.2, 0.0, 0.2, 0.0, 0.6] as factor vector
0.4793651 accuracy; 0.3937652 precision; 0.2 treshold; 5.0wc; [0.2, 0.1, 0.2, 0.0, 0.5] as factor vector
0.4793651 accuracy; 0.3937652 precision; 0.15 treshold; 5.0wc; [0.1, 0.1, 0.1, 0.0, 0.7] as factor vector
0.4793651 accuracy; 0.3937652 precision; 0.1 treshold; 5.0wc; [0.1, 0.5, 0.1, 0.0, 0.3] as factor vector
--------------------------------------------------------------
User 11: 0.6764706 recall; in the following cases: 
0.37142858 accuracy; 0.35254672 precision; 0.45 treshold; 5.0wc; [0.4, 0.1, 0.4, 0.0, 0.1] as factor vector
0.37142858 accuracy; 0.35254672 precision; 0.4 treshold; 5.0wc; [0.4, 0.2, 0.4, 0.0, 0.0] as factor vector
0.37142858 accuracy; 0.35254672 precision; 0.35 treshold; 5.0wc; [0.4, 0.1, 0.4, 0.1, 0.0] as factor vector
0.37142858 accuracy; 0.35254672 precision; 0.2 treshold; 5.0wc; [0.2, 0.1, 0.2, 0.0, 0.5] as factor vector
0.37142858 accuracy; 0.35357833 precision; 0.2 treshold; 5.0wc; [0.3, 0.1, 0.1, 0.1, 0.4] as factor vector
--------------------------------------------------------------
User 14: 0.6400266 recall; in the following cases: 
0.42222223 accuracy; 0.41125348 precision; 1.0 treshold; 3.0wc; [0.0, 1.0, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.95 treshold; 3.0wc; [0.0, 1.0, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.95 treshold; 3.0wc; [0.1, 0.9, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.95 treshold; 3.0wc; [0.2, 0.8, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.9 treshold; 3.0wc; [0.0, 1.0, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.9 treshold; 3.0wc; [0.1, 0.9, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.9 treshold; 3.0wc; [0.2, 0.8, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.9 treshold; 3.0wc; [0.3, 0.7, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.9 treshold; 3.0wc; [0.4, 0.6, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.85 treshold; 3.0wc; [0.0, 1.0, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.85 treshold; 3.0wc; [0.1, 0.9, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.85 treshold; 3.0wc; [0.2, 0.8, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.85 treshold; 3.0wc; [0.3, 0.7, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.85 treshold; 3.0wc; [0.4, 0.6, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.85 treshold; 3.0wc; [0.5, 0.5, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.85 treshold; 3.0wc; [0.6, 0.4, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.8 treshold; 3.0wc; [0.0, 1.0, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.8 treshold; 3.0wc; [0.1, 0.9, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.8 treshold; 3.0wc; [0.2, 0.8, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.8 treshold; 3.0wc; [0.3, 0.7, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.8 treshold; 3.0wc; [0.4, 0.6, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.8 treshold; 3.0wc; [0.5, 0.5, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.8 treshold; 3.0wc; [0.6, 0.4, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.8 treshold; 3.0wc; [0.7, 0.3, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.8 treshold; 3.0wc; [0.8, 0.2, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.8 treshold; 3.0wc; [0.9, 0.1, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.75 treshold; 3.0wc; [0.0, 1.0, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.75 treshold; 3.0wc; [0.1, 0.9, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.75 treshold; 3.0wc; [0.2, 0.8, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.75 treshold; 3.0wc; [0.3, 0.7, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.75 treshold; 3.0wc; [0.4, 0.6, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.75 treshold; 3.0wc; [0.5, 0.5, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.75 treshold; 3.0wc; [0.6, 0.4, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.75 treshold; 3.0wc; [0.7, 0.3, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.75 treshold; 3.0wc; [0.8, 0.2, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.75 treshold; 3.0wc; [0.9, 0.1, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.75 treshold; 3.0wc; [1.0, 0.0, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.7 treshold; 3.0wc; [0.0, 1.0, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.7 treshold; 3.0wc; [0.1, 0.9, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.7 treshold; 3.0wc; [0.2, 0.8, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.7 treshold; 3.0wc; [0.3, 0.7, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.7 treshold; 3.0wc; [0.4, 0.6, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.7 treshold; 3.0wc; [0.5, 0.5, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.7 treshold; 3.0wc; [0.6, 0.4, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.7 treshold; 3.0wc; [0.7, 0.3, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.7 treshold; 3.0wc; [0.8, 0.2, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.7 treshold; 3.0wc; [0.9, 0.1, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.7 treshold; 3.0wc; [1.0, 0.0, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.65 treshold; 3.0wc; [0.0, 1.0, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.65 treshold; 3.0wc; [0.1, 0.9, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.65 treshold; 3.0wc; [0.2, 0.8, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.65 treshold; 3.0wc; [0.3, 0.7, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.65 treshold; 3.0wc; [0.4, 0.6, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.65 treshold; 3.0wc; [0.5, 0.5, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.65 treshold; 3.0wc; [0.6, 0.4, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.65 treshold; 3.0wc; [0.7, 0.3, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.65 treshold; 3.0wc; [0.8, 0.2, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.65 treshold; 3.0wc; [0.9, 0.1, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.65 treshold; 3.0wc; [1.0, 0.0, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.6 treshold; 3.0wc; [0.0, 1.0, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.6 treshold; 3.0wc; [0.1, 0.9, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.6 treshold; 3.0wc; [0.2, 0.8, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.6 treshold; 3.0wc; [0.3, 0.7, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.6 treshold; 3.0wc; [0.4, 0.6, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.6 treshold; 3.0wc; [0.5, 0.5, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.6 treshold; 3.0wc; [0.6, 0.4, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.6 treshold; 3.0wc; [0.7, 0.3, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.6 treshold; 3.0wc; [0.8, 0.2, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.6 treshold; 3.0wc; [0.9, 0.1, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.6 treshold; 3.0wc; [1.0, 0.0, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.55 treshold; 3.0wc; [0.0, 1.0, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.55 treshold; 3.0wc; [0.1, 0.9, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.55 treshold; 3.0wc; [0.2, 0.8, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.55 treshold; 3.0wc; [0.3, 0.7, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.55 treshold; 3.0wc; [0.4, 0.6, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.55 treshold; 3.0wc; [0.5, 0.5, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.55 treshold; 3.0wc; [0.6, 0.4, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.55 treshold; 3.0wc; [0.7, 0.3, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.55 treshold; 3.0wc; [0.8, 0.2, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.55 treshold; 3.0wc; [0.9, 0.1, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.55 treshold; 3.0wc; [1.0, 0.0, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.5 treshold; 3.0wc; [0.0, 1.0, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.5 treshold; 3.0wc; [0.1, 0.9, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.5 treshold; 3.0wc; [0.2, 0.8, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.5 treshold; 3.0wc; [0.3, 0.7, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.5 treshold; 3.0wc; [0.4, 0.6, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.5 treshold; 3.0wc; [0.5, 0.5, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.5 treshold; 3.0wc; [0.6, 0.4, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.5 treshold; 3.0wc; [0.7, 0.3, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.5 treshold; 3.0wc; [0.8, 0.2, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.5 treshold; 3.0wc; [0.9, 0.1, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.5 treshold; 3.0wc; [1.0, 0.0, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.45 treshold; 3.0wc; [0.0, 1.0, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.45 treshold; 3.0wc; [0.1, 0.9, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.45 treshold; 3.0wc; [0.2, 0.8, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.45 treshold; 3.0wc; [0.3, 0.7, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.45 treshold; 3.0wc; [0.4, 0.6, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.45 treshold; 3.0wc; [0.5, 0.5, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.45 treshold; 3.0wc; [0.6, 0.4, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.45 treshold; 3.0wc; [0.7, 0.3, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.45 treshold; 3.0wc; [0.8, 0.1, 0.1, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.45 treshold; 3.0wc; [0.8, 0.2, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.45 treshold; 3.0wc; [0.9, 0.0, 0.1, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.45 treshold; 3.0wc; [0.9, 0.1, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.45 treshold; 3.0wc; [1.0, 0.0, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.4 treshold; 3.0wc; [0.0, 1.0, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.4 treshold; 3.0wc; [0.1, 0.9, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.4 treshold; 3.0wc; [0.2, 0.8, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.4 treshold; 3.0wc; [0.3, 0.7, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.4 treshold; 3.0wc; [0.4, 0.6, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.4 treshold; 3.0wc; [0.5, 0.5, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.4 treshold; 3.0wc; [0.6, 0.4, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.4 treshold; 3.0wc; [0.7, 0.3, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.4 treshold; 3.0wc; [0.8, 0.2, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.4 treshold; 3.0wc; [0.9, 0.1, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.4 treshold; 3.0wc; [1.0, 0.0, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.35 treshold; 3.0wc; [0.0, 1.0, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.35 treshold; 3.0wc; [0.1, 0.9, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.35 treshold; 3.0wc; [0.2, 0.8, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.35 treshold; 3.0wc; [0.3, 0.7, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.35 treshold; 3.0wc; [0.4, 0.6, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.35 treshold; 3.0wc; [0.5, 0.5, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.35 treshold; 3.0wc; [0.6, 0.4, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.35 treshold; 3.0wc; [0.7, 0.3, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.35 treshold; 3.0wc; [0.8, 0.2, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.35 treshold; 3.0wc; [0.9, 0.1, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.35 treshold; 3.0wc; [1.0, 0.0, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.3 treshold; 3.0wc; [0.0, 1.0, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.3 treshold; 3.0wc; [0.1, 0.9, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.3 treshold; 3.0wc; [0.2, 0.8, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.3 treshold; 3.0wc; [0.3, 0.7, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.3 treshold; 3.0wc; [0.4, 0.6, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.3 treshold; 3.0wc; [0.5, 0.5, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.3 treshold; 3.0wc; [0.6, 0.4, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.3 treshold; 3.0wc; [0.7, 0.3, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.3 treshold; 3.0wc; [0.8, 0.2, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.3 treshold; 3.0wc; [0.9, 0.1, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.3 treshold; 3.0wc; [1.0, 0.0, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.25 treshold; 3.0wc; [0.0, 1.0, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.25 treshold; 3.0wc; [0.1, 0.9, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.25 treshold; 3.0wc; [0.2, 0.8, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.25 treshold; 3.0wc; [0.3, 0.7, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.25 treshold; 3.0wc; [0.4, 0.6, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.25 treshold; 3.0wc; [0.5, 0.5, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.25 treshold; 3.0wc; [0.6, 0.4, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.25 treshold; 3.0wc; [0.7, 0.3, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.25 treshold; 3.0wc; [0.8, 0.2, 0.0, 0.0, 0.0] as factor vector
0.42222223 accuracy; 0.41125348 precision; 0.25 treshold; 3.0wc; [0.9, 0.1, 0.0, 0.0, 0.0] as factor vector
